carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.83,4,6,1,62.1,56.0,6.0,6.04,3.74,3998.442400995038
0.51,2,3,2,63.0,53.0,5.1,5.13,3.22,623.8082708587413
1.06,4,5,3,61.3,57.0,6.54,6.57,4.02,6727.560311569846
0.41,4,6,4,61.8,57.0,4.75,4.8,2.95,2054.414244607922
1.03,4,4,3,60.4,56.0,6.59,6.56,3.97,6137.076137564003
0.32,4,6,2,61.3,55.0,4.41,4.46,2.72,470.81905082532967
0.3,3,0,4,62.6,58.0,4.32,4.27,2.69,-911.69634509454
0.32,2,6,5,60.1,58.0,4.41,4.44,2.66,1751.636213221712
0.33,4,3,4,61.7,56.0,4.44,4.47,2.75,525.1185200267023
0.25,4,3,4,62.7,54.0,4.05,4.08,2.55,-29.33254802383317
0.3,4,4,4,61.0,56.0,4.37,4.35,2.66,641.6212335808486
1.26,2,4,7,60.0,60.0,7.04,7.09,4.24,9918.870288708435
1.14,4,0,4,61.6,56.0,6.71,6.73,4.14,6328.96737474297
1.51,3,2,2,62.8,60.0,7.22,7.14,4.51,9193.513922963764
0.51,2,5,1,62.0,57.0,5.09,5.13,3.17,756.0684601252483
0.32,4,3,7,61.0,57.0,4.44,4.48,2.72,1950.557904703729
0.94,3,5,1,60.4,59.0,6.37,6.34,3.84,4480.895652058316
0.51,3,5,3,60.6,58.0,5.15,5.12,3.11,1912.840105854536
1.12,4,2,1,61.4,56.0,6.69,6.66,4.1,5290.542103374342
1.33,3,3,1,60.3,58.0,7.19,7.16,4.33,7362.819062108719
0.32,3,2,3,61.7,59.0,4.35,4.4,2.7,-526.2905290477488
0.7,4,5,3,62.6,57.0,5.63,5.68,3.54,3528.6555038901547
1.35,4,2,6,61.9,57.0,7.06,7.09,4.38,9885.632358495994
0.23,1,4,3,63.8,57.0,3.93,3.84,2.48,-850.4745552173713
0.9,2,4,0,61.9,59.0,6.16,6.18,3.82,3165.0841166303353
1.03,4,6,2,61.3,56.0,6.48,6.54,3.99,6305.617042783451
1.02,1,5,1,62.8,64.0,6.36,6.32,3.98,4782.295977465808
0.55,4,2,5,61.7,57.0,5.28,5.26,3.25,2319.378882707385
0.34,4,5,7,61.7,56.0,4.46,4.48,2.76,2762.927368627942
0.71,3,6,5,60.0,58.0,5.92,5.84,3.53,4774.365144181462
0.55,1,3,2,63.6,61.0,5.22,5.16,3.3,570.4095836317474
0.54,4,3,3,61.5,55.0,5.24,5.27,3.23,1638.138868058018
1.23,4,2,7,61.3,57.0,6.87,6.92,4.23,9307.469033481046
0.27,3,5,6,60.6,58.0,4.18,4.2,2.54,1668.138627030079
0.53,4,6,3,61.4,56.0,5.18,5.21,3.19,2533.486336102259
1.25,4,3,1,61.1,55.0,6.95,6.99,4.26,6842.30588137566
0.34,4,5,5,62.3,57.0,4.48,4.44,2.78,1667.7807719668576
0.36,3,1,3,62.7,59.0,4.54,4.58,2.86,-665.0169443614072
0.34,4,3,2,61.2,57.0,4.56,4.53,2.78,-458.43544788975896
1.12,1,5,2,64.3,57.0,6.56,6.5,4.2,6245.328141269912
0.3,4,2,4,61.6,55.0,4.27,4.3,2.64,60.182567310987906
0.36,4,6,2,62.0,56.0,4.61,4.55,2.84,642.5575802644325
0.71,4,4,6,61.1,54.0,5.78,5.84,3.55,4887.315369353692
0.32,3,3,3,62.6,60.0,4.33,4.36,2.72,-286.34086303461663
0.5,3,5,3,61.3,60.0,5.11,5.07,3.12,1729.613605033755
0.51,2,5,2,63.3,59.0,5.09,5.05,3.21,1095.5076742268734
0.58,4,0,4,61.9,58.0,5.31,5.35,3.3,1429.0069822915675
0.3,4,4,7,62.5,54.0,4.31,4.33,2.7,2125.2281489695383
0.39,4,3,6,62.3,57.0,4.7,4.64,2.91,1870.1705621118474
0.31,4,4,3,61.8,56.0,4.37,4.33,2.69,182.70516061351827
0.9,2,2,4,60.5,63.0,6.13,6.16,3.72,4558.479831635273
0.81,3,3,1,61.7,57.0,5.99,5.94,3.68,2706.943604911179
0.7,3,5,1,61.1,61.0,5.74,5.69,3.49,2329.0807635174497
0.38,2,0,3,60.5,60.0,4.64,4.68,2.82,-824.7111292912418
0.71,2,3,2,60.0,59.0,5.76,5.8,3.47,2298.7958818349516
0.71,2,6,3,63.1,58.0,5.67,5.7,3.59,3616.5076007016078
0.9,2,2,4,62.1,59.0,6.09,6.14,3.8,4565.806832613361
0.74,2,4,1,63.2,58.0,5.75,5.71,3.62,2213.576756522292
1.5,3,2,3,62.4,59.0,7.32,7.29,4.56,9560.193748733105
1.5,2,4,2,63.0,55.0,7.27,7.31,4.59,9685.292545710809
0.42,4,4,4,61.0,57.0,4.87,4.84,2.96,1476.019174151637
1.01,3,3,3,61.6,58.0,6.45,6.4,3.96,5447.371321928651
2.48,3,1,1,63.0,62.0,8.62,8.58,5.42,17543.532618511406
1.02,4,4,5,61.1,56.3,6.48,6.52,3.97,7061.541059995458
0.4,4,6,3,61.3,57.0,4.77,4.75,2.92,1468.0539369681132
0.7,4,4,2,61.3,57.0,5.76,5.79,3.54,2699.2922725636645
1.01,1,5,3,62.5,58.0,6.32,6.36,3.96,5893.522257643872
1.13,2,1,3,60.7,58.0,6.72,6.75,4.09,5817.156510740215
1.09,4,1,3,61.9,56.0,6.62,6.67,4.09,5667.200591255818
0.7,2,5,3,62.7,58.0,5.65,5.67,3.55,3235.785156189394
1.0,3,4,2,60.8,59.0,6.44,6.38,3.9,5210.560770908932
1.52,4,2,3,61.8,54.0,7.42,7.43,4.59,9990.631948958846
0.41,4,3,5,62.2,56.0,4.75,4.8,2.97,1578.9975828755537
0.43,2,0,3,60.9,59.0,4.86,4.9,2.97,-482.8627289644569
0.31,2,5,1,60.8,61.0,4.39,4.43,2.68,-799.3113295864582
0.33,4,3,3,62.2,56.0,4.47,4.44,2.77,-43.82163509353404
0.7,3,5,3,61.0,59.0,5.74,5.7,3.49,3390.696413930081
0.33,4,3,5,62.5,54.0,4.41,4.45,2.77,1038.3715170433593
1.16,3,2,1,62.6,57.0,6.75,6.67,4.2,5422.884973781667
0.51,4,5,3,61.8,57.0,5.15,5.14,3.18,1960.8599598433343
1.13,1,3,0,63.4,58.0,6.58,6.61,4.18,4739.325619394555
0.52,3,5,3,62.5,60.0,5.1,5.14,3.2,1857.0894643915863
0.23,2,4,5,61.4,56.0,3.94,3.97,2.43,487.7521912639327
0.5,0,4,2,64.7,60.0,4.99,4.84,3.18,366.9404935669131
1.08,2,6,4,60.5,58.0,6.53,6.63,3.98,7576.785517689089
0.3,3,3,4,62.2,59.0,4.31,4.28,2.67,73.3887575145427
0.48,4,0,4,62.2,54.0,5.01,5.06,3.13,690.9444234023194
1.51,4,0,4,61.6,58.0,7.35,7.43,4.55,9711.978644853956
1.03,3,4,1,62.4,59.0,6.45,6.38,4.0,4892.355603756176
0.31,2,3,5,63.4,59.0,4.29,4.26,2.71,480.3112825034141
0.4,4,3,7,62.3,55.0,4.74,4.76,2.96,2498.0068615266637
1.03,4,5,3,61.7,56.0,6.45,6.54,4.01,6476.6245972029465
1.16,3,0,2,62.5,58.0,6.73,6.67,4.19,5277.222117411673
1.04,2,0,1,62.8,57.0,6.44,6.5,4.06,3618.75214802879
0.71,3,5,3,61.5,60.0,5.76,5.68,3.52,3412.796284539956
0.29,2,2,5,61.2,56.0,4.26,4.29,2.61,228.06188583999938
1.09,4,3,1,61.2,57.0,6.68,6.63,4.07,5289.030645610827
0.74,4,4,4,62.3,56.0,5.76,5.79,3.6,4074.9314052283034
0.42,4,6,3,62.4,55.0,4.82,4.8,3.0,1602.225438183846
0.54,4,1,2,62.0,55.0,5.21,5.25,3.24,476.62351530778596
0.51,4,5,3,62.6,55.0,5.08,5.11,3.19,2008.797396988066
1.01,3,4,1,58.8,61.0,6.53,6.46,3.82,4852.9691309306345
1.0,3,2,3,59.4,61.0,6.51,6.46,3.85,5068.427688391838
1.02,3,2,3,61.0,60.0,6.5,6.46,3.95,5186.675633236688
0.73,1,5,4,60.8,61.0,5.77,5.8,3.52,3914.142141892647
1.01,3,2,1,60.3,59.0,6.51,6.45,3.91,4152.529110592781
0.33,1,6,2,63.1,55.0,4.38,4.4,2.77,95.4869187748468
1.22,4,4,4,62.3,57.0,6.79,6.83,4.24,8330.604685849681
0.31,4,6,4,62.0,54.0,4.35,4.36,2.7,1383.6870979303908
1.07,3,3,2,60.5,62.0,6.69,6.6,4.02,5371.528914613911
1.01,2,5,5,60.2,60.0,6.46,6.5,3.9,7031.551599625776
0.23,2,4,7,59.5,58.0,4.0,4.03,2.39,1540.3729836234338
0.35,2,6,4,60.9,58.0,4.54,4.56,2.77,1396.1239489756076
0.55,4,4,5,60.7,56.0,5.31,5.34,3.23,3049.1996290617526
0.9,4,3,2,61.9,59.0,6.16,6.19,3.82,4083.8570323082813
0.72,4,3,6,62.2,57.0,5.72,5.75,3.57,4554.139724543065
0.83,2,5,2,63.5,58.0,5.93,5.98,3.78,3828.684943913524
1.04,4,2,2,61.9,57.0,6.49,6.46,4.01,5034.519044411145
0.71,2,5,3,59.9,59.0,5.77,5.81,3.47,3444.998860393548
0.43,4,4,2,61.3,56.0,4.9,4.86,2.99,557.9816239614343
0.33,4,5,3,61.3,55.0,4.46,4.48,2.74,712.0884165949983
1.72,0,6,1,64.6,58.0,7.53,7.46,4.84,11522.370030846052
1.13,4,3,2,61.8,55.0,6.71,6.75,4.16,6199.3283598859925
0.52,4,6,2,62.4,56.0,5.12,5.17,3.21,1895.3703531630433
0.3,2,3,4,62.5,55.0,4.25,4.32,2.68,87.24058099330205
1.53,3,3,4,61.0,60.0,7.43,7.4,4.52,10702.06392395053
2.02,0,2,1,56.5,61.0,8.33,8.37,4.72,13368.977319415844
0.33,3,2,4,61.0,59.0,4.5,4.45,2.73,7.146499797308024
0.7,2,3,0,61.5,63.0,5.73,5.65,3.5,984.9287654400355
1.26,3,1,2,60.5,62.0,6.97,6.92,4.2,6531.885788708963
0.3,3,6,3,62.5,59.0,4.28,4.23,2.66,542.7959831529656
0.59,2,2,4,62.1,55.0,5.37,5.41,3.35,1952.2236241993667
0.82,4,5,2,62.1,55.0,5.98,6.0,3.72,4111.082362914262
0.39,2,3,5,60.7,61.0,4.7,4.73,2.86,1158.6283039958994
0.31,4,2,7,62.1,54.0,4.33,4.37,2.7,1602.9542348642667
1.26,4,1,1,62.0,56.0,7.0,6.94,4.32,6157.65777879425
1.51,2,4,1,62.7,60.0,7.25,7.32,4.57,9204.896494014796
0.56,4,3,4,60.6,56.0,5.33,5.36,3.24,2324.2469007970717
0.31,4,3,6,62.5,55.0,4.34,4.33,2.71,1356.6172983283132
0.56,4,2,5,60.9,57.0,5.38,5.33,3.26,2405.7244551765907
0.96,3,5,1,58.2,58.0,6.52,6.47,3.78,4774.2444746147185
0.52,2,5,2,62.7,57.0,5.1,5.14,3.21,1298.1705260877698
1.02,2,2,2,63.5,55.0,6.31,6.35,4.02,4656.05937068802
1.06,1,1,4,57.5,62.0,6.71,6.83,3.9,5614.373130707291
1.21,4,2,2,62.1,59.0,6.81,6.75,4.21,6520.226823854519
2.02,0,2,3,64.5,57.0,8.0,7.95,5.14,14092.073845610397
1.52,4,3,3,62.1,56.0,7.39,7.34,4.57,10261.216526894395
2.03,2,1,1,62.8,59.0,8.04,8.08,5.06,13172.93876632027
0.28,1,4,5,61.2,62.0,4.16,4.21,2.56,576.4931566642595
0.7,0,3,4,65.8,61.0,5.61,5.46,3.64,2546.5633123165
0.7,4,3,6,62.3,57.0,5.61,5.65,3.51,4425.819385857168
2.32,0,2,0,70.5,55.0,7.93,7.9,5.58,15437.93721111549
0.58,4,0,3,60.9,57.0,5.38,5.4,3.28,975.9556397548427
0.54,4,6,4,61.6,54.0,5.24,5.25,3.23,3125.1022332904286
1.2,2,1,2,62.9,54.0,6.75,6.77,4.25,5967.177304051886
0.52,2,4,3,62.4,57.0,5.12,5.13,3.2,1482.192223623661
1.57,3,4,1,60.2,60.0,7.49,7.43,4.49,9968.287266512738
0.7,3,1,0,62.3,58.0,5.69,5.55,3.51,556.4136515376695
1.57,2,2,2,62.0,60.0,7.4,7.44,4.6,9633.500161843003
1.02,2,6,3,63.2,58.0,6.4,6.36,4.03,6315.443275829008
1.5,3,4,3,62.4,57.0,7.38,7.29,4.58,10204.982397106089
0.7,2,5,4,62.7,60.0,5.59,5.64,3.52,3736.8611125750604
0.42,3,4,2,60.6,58.0,4.89,4.81,2.94,342.9192010376428
2.01,3,2,2,60.0,60.0,8.16,8.13,4.89,14002.27724311769
0.31,3,3,4,62.2,58.0,4.38,4.34,2.71,146.42681668120713
0.44,4,5,5,61.9,56.0,4.91,4.88,3.03,2432.5671249191337
0.7,4,6,5,61.7,55.0,5.73,5.75,3.54,4891.853694496207
1.2,3,0,2,60.0,61.0,6.89,6.84,4.12,5698.844429636758
1.05,4,3,4,62.2,57.0,6.49,6.51,4.04,6442.954583927371
0.7,4,4,0,62.1,57.0,5.67,5.64,3.52,1708.4137893509992
0.53,3,4,2,60.9,59.0,5.21,5.23,3.18,1203.326446416479
1.09,3,2,1,61.2,62.0,6.63,6.58,4.04,4758.5679732666285
0.92,3,5,1,61.8,59.0,6.19,6.11,3.8,4304.222489262681
0.71,3,4,3,58.0,62.0,5.85,5.81,3.38,3249.5241145411824
0.57,1,4,1,61.9,57.7,5.32,5.34,3.3,749.8766744516956
0.71,2,3,3,63.5,59.0,5.67,5.63,3.59,2586.5939163964335
0.89,3,3,2,61.1,58.0,6.24,6.17,3.79,3876.2671696090424
1.06,4,3,2,62.9,56.0,6.52,6.49,4.09,5490.640793807415
0.86,3,2,1,61.0,58.0,6.15,6.12,3.74,2816.5715841574647
1.1,3,3,3,60.2,58.0,6.75,6.71,4.05,6273.927055693543
0.7,4,5,2,62.5,57.0,5.7,5.72,3.57,2975.0120279831517
1.04,3,3,4,61.5,61.0,6.56,6.51,4.02,6106.055230512783
0.93,3,5,0,62.3,60.0,6.23,6.2,3.87,3810.772351629188
1.1,3,4,0,59.8,61.0,6.7,6.65,3.99,5093.256026750146
2.12,3,2,1,62.3,58.0,8.25,8.16,5.12,14468.459505952542
0.33,4,4,6,62.4,55.0,4.44,4.47,2.78,1817.8667625852268
0.9,0,1,3,65.8,55.0,6.05,6.01,3.97,3333.108683042383
0.71,4,5,4,62.0,57.0,5.72,5.66,3.53,4105.681874301806
1.75,4,3,3,62.1,57.0,7.73,7.69,4.79,12419.58754015689
0.81,4,2,2,61.4,56.0,6.0,6.05,3.7,3049.317161795674
0.75,1,1,6,63.9,61.0,5.7,5.67,3.63,3642.1678016232318
0.4,4,3,3,62.6,56.0,4.69,4.74,2.95,489.31994542285565
0.34,4,3,3,62.1,55.0,4.49,4.46,2.78,80.86738228651484
0.35,3,4,3,61.8,58.0,4.48,4.52,2.78,348.28721179759395
1.29,2,1,3,62.8,58.0,6.89,6.93,4.34,7220.7493428329335
1.7,3,3,2,61.7,58.0,7.69,7.6,4.72,11300.485720097666
1.01,3,4,2,62.7,54.0,6.42,6.37,4.01,5309.339213204761
0.47,1,6,2,63.8,59.0,4.9,4.88,3.12,991.1698694272595
0.71,3,5,2,59.2,59.0,5.86,5.83,3.46,3042.9095059868755
1.01,4,3,4,61.3,56.0,6.49,6.44,3.96,6110.635901319392
0.92,1,0,1,59.0,63.0,6.3,6.35,3.73,2483.72330564123
0.31,4,4,6,61.6,55.0,4.36,4.41,2.7,1737.7423053749244
0.3,4,3,6,61.3,56.0,4.3,4.34,2.65,1357.0221769126615
0.7,2,3,2,62.1,58.0,5.66,5.7,3.53,2130.448357212449
1.01,3,2,7,62.1,59.0,6.47,6.41,4.0,7041.447993726276
1.5,2,2,1,62.5,60.0,7.25,7.32,4.55,8467.80007096179
0.9,2,6,4,62.2,58.0,6.14,6.18,3.83,5832.409916288134
0.23,1,4,5,62.8,61.0,3.92,3.95,2.47,139.82252509798445
0.25,1,5,5,58.0,65.0,4.13,4.18,2.41,786.1910865432997
0.35,4,4,5,62.1,56.0,4.56,4.52,2.82,1425.799212454779
0.73,2,6,1,60.4,59.0,5.8,5.86,3.52,2915.9676446885896
0.4,2,3,7,61.2,57.0,4.77,4.79,2.92,2269.9924985251237
0.3,4,5,3,61.5,55.0,4.33,4.29,2.65,483.35599901843034
1.01,3,0,5,62.7,59.0,6.46,6.39,4.03,5353.118232645254
0.51,4,6,1,62.5,55.0,5.12,5.15,3.21,1304.4171192712315
1.72,3,4,0,60.1,58.0,7.77,7.74,4.66,10903.357351221248
0.51,1,5,2,64.3,54.0,5.1,5.07,3.27,1015.0694652403618
0.7,4,5,4,62.2,58.0,5.67,5.71,3.54,4001.1611227147196
0.52,1,2,3,63.6,57.0,5.05,5.1,3.23,678.7595655644609
1.01,3,4,1,62.2,59.0,6.41,6.38,3.98,4728.814289265075
0.31,4,4,3,62.1,57.0,4.34,4.36,2.7,159.5693728082856
1.01,1,3,2,63.6,57.0,6.33,6.37,4.04,4673.331623915018
1.24,1,5,2,63.5,55.0,6.82,6.86,4.35,7434.064555814248
1.01,2,1,2,60.1,59.0,6.44,6.47,3.88,4289.195307931299
1.05,4,3,3,61.9,57.0,6.47,6.51,4.03,5984.575184996493
0.9,1,3,2,63.7,60.0,6.11,6.07,3.88,3589.9069636279523
0.56,4,5,3,61.6,57.0,5.3,5.32,3.27,2387.1583498791115
0.8,2,4,2,61.6,56.0,5.96,6.0,3.68,3365.1732627483234
0.3,4,6,2,62.5,57.0,4.32,4.29,2.69,180.59837895118335
0.76,4,2,3,62.7,57.0,5.82,5.86,3.66,3033.2283824612755
1.21,3,2,2,59.8,58.0,6.95,6.9,4.14,6495.701646553047
1.51,2,0,4,61.4,57.0,7.3,7.38,4.51,9557.304113192271
1.21,4,2,5,61.3,56.0,6.85,6.89,4.21,8134.192676959607
0.7,4,4,2,61.5,57.0,5.67,5.74,3.51,2761.625522592078
0.53,4,1,3,62.2,56.0,5.15,5.2,3.22,878.8830177605792
0.46,4,5,4,61.9,55.0,4.94,4.97,3.06,2149.439832622682
0.41,4,3,7,61.7,56.0,4.79,4.81,2.96,2585.7869548661574
0.37,2,4,3,61.0,58.0,4.61,4.63,2.82,396.2138306373349
0.58,4,4,1,60.9,57.0,5.4,5.44,3.3,1250.2496401110438
0.72,3,4,2,59.5,62.0,5.85,5.74,3.45,2731.163689717782
1.5,1,3,2,58.4,65.0,7.45,7.41,4.34,9204.91987036461
1.31,2,2,3,61.4,59.0,6.96,7.01,4.29,7788.846192347914
1.0,2,6,2,62.1,58.0,6.34,6.45,3.97,5745.975586169101
0.41,3,3,6,60.3,60.0,4.78,4.74,2.87,1982.823686248654
0.38,4,4,6,61.0,57.0,4.67,4.71,2.86,2220.7350095096435
0.35,3,5,6,60.7,59.0,4.58,4.55,2.77,2148.7982199905045
0.3,3,6,3,61.7,58.0,4.32,4.3,2.66,600.6253290369987
1.13,4,1,4,61.6,54.0,6.72,6.74,4.15,6587.648039006689
0.37,3,5,5,60.9,59.0,4.61,4.65,2.82,1823.1777331978044
0.39,3,3,5,60.7,61.0,4.73,4.7,2.86,1251.3831965547056
0.5,1,6,2,63.9,56.0,5.02,4.93,3.18,1278.8372381222707
0.31,4,5,3,61.5,56.0,4.39,4.42,2.71,514.8393567895364
1.72,1,6,1,63.4,62.0,7.53,7.59,4.79,11641.111501233347
1.27,4,2,2,59.8,57.0,7.08,7.01,4.22,7175.43630926028
1.0,1,6,3,62.8,61.0,6.31,6.34,3.97,6014.139371967155
1.59,3,1,3,59.9,60.0,7.61,7.57,4.55,10137.222889215273
0.38,2,4,3,60.9,56.0,4.67,4.72,2.86,513.2562334696918
2.39,4,0,4,62.1,57.0,8.53,8.57,5.31,18157.73434129821
1.01,3,4,2,62.2,59.0,6.36,6.41,3.97,5274.718827346835
0.31,3,2,6,62.6,58.0,4.33,4.29,2.7,834.7549579643605
2.05,4,0,4,61.8,58.0,8.12,8.16,5.03,14847.406937699836
0.7,1,4,2,61.1,61.0,5.68,5.71,3.48,2319.964072416388
1.01,0,1,0,56.1,63.0,6.7,6.65,3.74,3047.644043674338
1.55,2,2,3,63.3,56.0,7.38,7.32,4.65,9929.8574836304
0.33,3,5,6,59.7,58.0,4.49,4.52,2.69,2120.747570581886
1.51,3,5,2,62.9,62.0,7.31,7.21,4.57,10023.695786646394
0.26,2,6,5,59.1,59.0,4.21,4.28,2.51,1334.8981494374693
1.01,3,6,2,59.8,54.0,6.6,6.5,3.93,6037.8259943215
0.42,2,6,2,60.2,57.0,4.85,4.89,2.93,965.4597625473652
1.03,3,2,0,62.9,59.0,6.41,6.3,4.0,3737.8788987636935
1.57,4,1,1,62.6,58.0,7.38,7.41,4.63,9069.80461190055
1.01,2,3,4,63.1,55.0,6.34,6.37,4.01,5879.211166108584
2.51,3,0,1,59.3,58.0,8.87,8.83,5.25,17740.34456301153
0.7,2,6,2,63.2,55.0,5.62,5.65,3.56,3121.656060744773
0.95,4,3,3,61.6,56.0,6.34,6.3,3.89,5068.761117613277
0.32,4,5,1,62.7,55.0,4.39,4.42,2.76,-450.7016322979666
1.25,3,0,1,62.3,59.0,6.82,6.86,4.26,5661.796895749142
2.26,3,1,1,62.0,58.0,8.4,8.37,5.2,15551.018919225313
0.28,4,3,7,60.9,57.0,4.24,4.27,2.59,1700.4676948092806
1.52,4,1,2,61.4,57.0,7.4,7.43,4.55,9139.939530504113
0.4,1,6,4,56.3,59.0,4.94,4.97,2.79,1821.050210152057
1.7,2,4,1,63.4,57.0,7.54,7.57,4.79,11020.65184145207
2.01,1,0,1,63.4,59.0,7.95,7.99,5.05,12542.202131203147
0.3,4,6,3,62.2,54.0,4.31,4.28,2.67,792.657235739427
0.55,2,5,3,61.6,60.0,5.23,5.27,3.23,2021.8500623124269
0.33,3,5,6,59.7,58.0,4.52,4.49,2.69,2093.281227580329
1.16,4,3,5,62.0,56.0,6.75,6.71,4.17,7945.008851931674
1.51,2,0,2,62.9,59.0,7.25,7.29,4.57,8422.151831765175
0.29,4,4,4,61.6,56.0,4.26,4.31,2.64,581.5692287437073
0.7,2,5,4,63.4,57.0,5.63,5.67,3.58,3722.5970951434833
0.39,3,2,1,61.2,58.0,4.51,6.02,4.44,-844.7590618837753
0.52,4,5,3,61.2,56.0,5.2,5.16,3.17,2100.0821169984215
2.17,3,2,2,59.9,61.0,8.39,8.38,5.02,15510.56047704898
1.37,4,2,4,63.8,56.0,7.01,6.98,4.46,9010.687894074537
0.3,2,4,6,61.0,57.0,4.33,4.36,2.65,1412.007635510854
1.06,3,6,1,61.6,61.0,6.59,6.53,4.04,5754.753987920585
0.32,4,5,6,60.9,57.0,4.42,4.45,2.7,2121.39118904999
0.32,3,3,3,61.0,59.0,4.42,4.46,2.71,-206.6565229708017
0.2,3,6,3,61.7,60.0,3.77,3.72,2.31,-54.039047021164606
0.7,4,2,3,61.1,57.0,5.71,5.74,3.5,2613.4026896460464
0.53,4,5,4,61.5,57.0,5.22,5.25,3.22,2642.028845041236
0.71,4,1,6,62.4,55.0,5.69,5.76,3.57,3863.0998257085957
1.16,4,3,6,61.9,55.0,6.75,6.78,4.19,8481.488349356256
1.01,3,5,2,59.2,60.0,6.56,6.51,3.87,5644.102701770036
0.4,4,3,5,62.6,53.0,4.72,4.77,2.97,1542.604386198701
1.51,1,4,1,62.9,55.0,7.22,7.28,4.56,9224.320819695664
1.04,2,1,1,61.6,58.0,6.47,6.58,4.02,3990.109579164913
0.37,4,1,2,60.7,60.0,4.6,4.62,2.8,-851.8710637467943
0.37,3,4,3,60.5,59.0,4.62,4.67,2.81,523.5778054865891
0.64,1,2,4,61.8,60.3,5.47,5.53,3.4,2171.3050002181053
2.01,2,1,2,60.8,60.0,8.12,8.15,4.95,13528.54738472128
1.29,4,3,3,62.5,57.0,6.89,6.92,4.35,8156.917751544073
1.01,2,3,5,63.4,55.0,6.41,6.34,4.04,6291.892271052633
2.01,3,2,2,62.7,59.0,8.08,8.03,5.05,13872.592313029407
0.51,2,0,2,63.3,56.0,5.12,5.02,3.21,-468.9065166769492
0.53,2,5,3,63.5,59.0,5.17,5.13,3.27,1725.8678502701428
1.01,2,3,3,63.0,56.0,6.35,6.41,4.02,5352.949557414787
0.31,3,5,6,62.0,59.0,4.34,4.3,2.68,1818.360536089347
0.36,4,3,6,60.0,56.0,4.66,4.69,2.81,1798.5947598710886
0.31,3,2,4,61.4,61.0,4.36,4.33,2.67,-171.8209733091835
0.77,3,3,5,60.8,59.0,5.96,5.92,3.61,4326.267963753908
1.5,3,2,2,61.0,60.0,7.33,7.27,4.45,9140.438835447481
0.45,2,5,1,63.2,54.0,4.94,4.82,3.09,214.76344745647566
0.57,4,4,1,62.2,53.0,5.34,5.4,3.34,1192.1727168810626
1.01,1,1,1,61.8,62.0,6.28,6.35,3.9,3589.198689346536
0.71,0,3,1,65.6,61.0,5.46,5.37,3.55,1300.7117303117407
0.72,4,2,1,61.8,55.0,5.79,5.76,3.57,1751.6664670997318
0.55,4,2,7,61.9,56.0,5.26,5.34,3.26,3350.434404093339
1.01,1,4,2,63.5,59.0,6.3,6.39,4.03,4979.695743460565
0.32,3,2,4,61.6,59.0,4.37,4.39,2.7,-35.67274574745579
